Specimen,Haplogroup,Subhaplogroup,BIN,GMYC,ABGDinit,ASAP,bPTP,
155W1_SH_N,N,N,BOLD:AHM3821,1,1,3,Species 7 (support = 0.555),155W1
155W2_SH_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),155W2
158W1_Se_N,N,N,BOLD:AHM3821,10,1,3,Species 8 (support = 0.651),158W1
158W2_Se_N,N,N,BOLD:AHM3821,1,1,3,Species 7 (support = 0.555),158W2
AmspA23_AL_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA23
AmspA41_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),AmspA41
AmspA45_So_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),AmspA45
AmspA55_So_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),AmspA55
AmspA57_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA57
AmspA58_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA58
AmspA59_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA59
AmspA60_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA60
Amspa61_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Amspa61
AmspA62_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA62
AmspA63_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA63
AmspA64_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA64
AmspA65_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA65
AmspA79_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA79
AmspA80_To_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),AmspA80
Ankh2_An_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),Ankh2
BG1_BG_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),BG1
BolR1_BR_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),BolR1
BolR2_BR_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),BolR2
EviA100_So_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),EviA100
EviA101_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA101
EviA102_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA102
EviA103_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA103
EviA104_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA104
EviA105_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA105
EviA106_So_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),EviA106
EviA107_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA107
EviA108_So_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),EviA108
EviA109_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA109
EviA45_So_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),EviA45
EviA98_So_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),EviA98
EviA99_So_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),EviA99
EviL79_Li_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),EviL79
EviL80_Li_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),EviL80
EviL81_Li_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),EviL81
EviL82_Li_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),EviL82
EviPB83_PB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),EviPB83
EviPB84_PB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),EviPB84
EviPB86_PB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),EviPB86
EviPB87_PB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),EviPB87
G1_Go_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),G1
G2_Go_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),G2
G3_Go_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),G3
G4_Go_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),G4
G5_Go_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),G5
GB1_GR_W,W,W,BOLD:AAY3457,7,1,1,Species 5 (support = 0.882),GB1
GB3_GR_W,W,W,BOLD:AAY3457,6,1,1,Species 5 (support = 0.882),GB3
GB4_GR_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),GB4
GB5_GR_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),GB5
kbjd1001_KB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),kbjd1001
kbjd1002_KB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),kbjd1002
kbjd1003_KB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),kbjd1003
kbjd1004_KB_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),kbjd1004
Konn1_Ko_W,W,W,BOLD:AAY3457,7,1,1,Species 5 (support = 0.882),Konn1
Konn10_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn10
Konn11_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn11
Konn12_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn12
Konn13_Ko_W,W,W,BOLD:AAY3457,7,1,1,Species 5 (support = 0.882),Konn13
Konn14_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn14
Konn15_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn15
Konn2_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn2
Konn3_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn3
Konn4_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn4
Konn5_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn5
Konn6_Ko_W,W,W,BOLD:AAY3457,6,1,1,Species 5 (support = 0.882),Konn6
Konn7_Ko_W,W,W,BOLD:AAY3457,7,1,1,Species 5 (support = 0.882),Konn7
Konn8_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn8
Konn9_Ko_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Konn9
Kur0_Kr_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),Kur0
Kur39_Ku_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),Kur39
Kur40_Ku_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),Kur40
Kur41_Ku_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),Kur41
Kur42_Ku_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),Kur42
SR1_SR_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),SR1
SR2_SR_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),SR2
SR3_SR_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),SR3
SR5_SR_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),SR5
SR7_SR_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),SR7
UB1_UB_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),UB1
UB2_UB_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),UB2
UB3_UB_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),UB3
UB4_UB_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),UB4
UB5_UB_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),UB5
UB6_UB_W,W,W,BOLD:AAY3457,11,1,1,Species 6 (support = 0.938),UB6
Ur1_Ur_N,N,N,BOLD:AHM3821,3,1,3,Species 7 (support = 0.555),Ur1
Uy77_Uy_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),Uy77
Uy78_Uy_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),Uy78
Uy79_Uy_N,N,N,BOLD:AHM3821,4,1,3,Species 7 (support = 0.555),Uy79
Uz11_Uz_Wa,Wa,Wa,BOLD:AHM3822,8,1,2,Species 3 (support = 0.559),Uz11
Uz12_Uz_N,N,N,BOLD:AHM3821,2,1,3,Species 7 (support = 0.555),Uz12
Uz13_Uz_Wa,Wa,Wa,BOLD:AHM3822,8,1,2,Species 3 (support = 0.559),Uz13
Uz21_Uz_Wa,Wa,Wa,BOLD:AHM3822,8,1,2,Species 3 (support = 0.559),Uz21
Uz22_Uz_W,W,W,BOLD:AAY3457,5,1,1,Species 5 (support = 0.882),Uz22
Uz23_Uz_Wa,Wa,Wa,BOLD:AHM3822,8,1,2,Species 3 (support = 0.559),Uz23
Uz24_Uz_Wa,Wa,Wa,BOLD:AHM3822,8,1,2,Species 3 (support = 0.559),Uz24
Uz31_Uz_Wa,Wa,Wa,BOLD:AHM3820,12,1,2,Species 4 (support = 0.899),Uz31
Uz32_Uz_Wa,Wa,Wa,BOLD:AHM3822,8,1,2,Species 3 (support = 0.559),Uz32
Vy1_Vy_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),Vy1
Vy2_Vy_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),Vy2
Vy3_Vy_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),Vy3
Vy4_Vy_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),Vy4
Vy5_Vy_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),Vy5
Vy6_Vy_S,S,S,BOLD:ADC2748,9,2,4,Species 2 (support = 0.963),Vy6
