Label,Specimen,Location,Haplogroup_18S,Haplogroup_COI,Subgroup_18S,Subgroup_COI
155W1_SH,155W1,SH,N,N,NE,N
155W2_SH,155W2,SH,N,N,NE,N
158W1_Se,158W1,Se,N,N,NE,N
158W2_Se,158W2,Se,N,N,NE,N
AmspA23_AL,AmspA23,AL,W,W,W,W
AmspA41_So,AmspA41,So,W,N,W,N
AmspA45_So,AmspA45,So,W,N,W,N
AmspA55_So,AmspA55,So,W,N,W,N
AmspA57_To,AmspA57,To,W,W,W,W
AmspA58_To,AmspA58,To,W,W,W,W
AmspA59_To,AmspA59,To,W,W,W,W
AmspA60_To,AmspA60,To,W,W,W,W
AmspA61_To,AmspA61,To,W,W,W,W
AmspA62_To,AmspA62,To,W,W,W,W
AmspA63_To,AmspA63,To,W,W,W,W
AmspA64_To,AmspA64,To,W,W,W,W
AmspA65_To,AmspA65,To,W,W,W,W
AmspA79_To,AmspA79,To,W,W,W,W
AmspA80_To,AmspA80,To,W,W,W,W
Ankh2_An,Ankh2,An,N,N,NW,N
BG1_BG,BG1,BG,W,W,W,W
BolR1_BR,BolR1,BR,W,W,W,W
BolR2_BR,BolR2,BR,W,W,W,W
EviA100_So,EviA100,So,W,N,W,N
EviA101_So,EviA101,So,W,N,W,N
EviA102_So,EviA102,So,W,N,W,N
EviA103_So,EviA103,So,W,N,W,N
EviA104_So,EviA104,So,W,N,W,N
EviA105_So,EviA105,So,W,N,W,N
EviA106_So,EviA106,So,W,N,W,N
EviA107_So,EviA107,So,W,N,W,N
EviA108_So,EviA108,So,W,N,W,N
EviA109_So,EviA109,So,W,N,W,N
EviA45_So,EviA45,So,W,N,W,N
EviA98_So,EviA98,So,W,N,W,N
EviA99_So,EviA99,So,W,N,W,N
EviL79_Li,EviL79,Li,W,W,W,W
EviL80_Li,EviL80,Li,W,W,W,W
EviL81_Li,EviL81,Li,W,W,W,W
EviL82_Li,EviL82,Li,W,W,W,W
EviPB83_PB,EviPB83,PB,S,S,S,S
EviPB84_PB,EviPB84,PB,S,S,S,S
EviPB86_PB,EviPB86,PB,S,S,S,S
EviPB87_PB,EviPB87,PB,S,S,S,S
G1_Go,G1,Go,N,N,NE,N
G2_Go,G2,Go,N,N,NE,N
G3_Go,G3,Go,N,N,NE,N
G4_Go,G4,Go,N,N,NE,N
G5_Go,G5,Go,N,N,NE,N
GB1_GR,GB1,GR,W,W,W,W
GB3_GR,GB3,GR,W,W,W,W
GB4_GR,GB4,GR,W,W,W,W
GB5_GR,GB5,GR,W,W,W,W
kbjd1001_KB,kbjd1001,KB,S,S,S,S
kbjd1002_KB,kbjd1002,KB,S,S,S,S
kbjd1003_KB,kbjd1003,KB,S,S,S,S
kbjd1004_KB,kbjd1004,KB,S,S,S,S
Konn10_Ko,Konn10,Ko,W,W,W,W
Konn11_Ko,Konn11,Ko,W,W,W,W
Konn12_Ko,Konn12,Ko,W,W,W,W
Konn13_Ko,Konn13,Ko,W,W,W,W
Konn14_Ko,Konn14,Ko,W,W,W,W
Konn15_Ko,Konn15,Ko,W,W,W,W
Konn1_Ko,Konn1,Ko,W,W,W,W
Konn2_Ko,Konn2,Ko,W,W,W,W
Konn3_Ko,Konn3,Ko,W,W,W,W
Konn4_Ko,Konn4,Ko,W,W,W,W
Konn5_Ko,Konn5,Ko,W,W,W,W
Konn6_Ko,Konn6,Ko,W,W,W,W
Konn7_Ko,Konn7,Ko,W,W,W,W
Konn8_Ko,Konn8,Ko,W,W,W,W
Konn9_Ko,Konn9,Ko,W,W,W,W
Kur0_Kr,Kur0,Kr,N,N,NW,N
Kur39_Ku,Kur39,Ku,N,N,NW,N
Kur40_Ku,Kur40,Ku,N,N,NW,N
Kur41_Ku,Kur41,Ku,N,N,NW,N
Kur42_Ku,Kur42,Ku,N,N,NW,N
SR1_SR,SR1,SR,S,S,S,S
SR2_SR,SR2,SR,S,S,S,S
