Species,Comparison,Min,Median,Max
Ecy,,0,0.01137441,0.04194426
Ema,CC,0,0.012507594,0.02294505
Ema,CS,0.1100843294,0.114233881,0.123319198
Ema,SS,0,0.002087205,0.093024528
Ema,WC,0.0776473277,0.082521766,0.006316468
Ema,WS,0.0808407701,0.087134668,0.095600817
Ema,WW,0,0.00211358,0.008455462
Evi,NN,0,0.011264406,0.02992697
Evi,NS,0.08598769,0.098984183,0.11745074
Evi,SS,0,0.008514698,0.02372576
Evi,WN,0.05739769,0.091210328,0.15019159
Evi,WS,0.15016845,0.176782486,0.23069937
Evi,WW,0,0.013085411,0.07147948
Eve,EE,0,0.01057747,0.05314228
Eve,ES,0.1524774642,0.21231671,0.23230791
Eve,SS,0,0.01326275,0.04763452
Eve,WE,0.1461602028,0.19621743,0.21353228
Eve,WS,0.1408535388,0.18073065,0.20471895
Eve,WW,0,0.01289785,0.02781197
